Date,Open,High,Low,Close,Volume
2025-12-29,1622.88,1637.66,1602.42,1609.86,4062817
2025-12-30,1612.11,1613.0,1582.55,1587.25,9395937
2025-12-31,1586.67,1594.1,1575.12,1581.18,6538656
2026-01-01,1581.18,1604.87,1579.91,1595.28,3658165
2026-01-02,1601.25,1608.69,1593.03,1605.65,2524526
2026-01-05,1602.33,1602.33,1549.57,1572.37,5917885
2026-01-06,1566.21,1585.59,1565.13,1578.05,4466729
2026-01-07,1580.79,1607.22,1580.79,1604.28,4508079
2026-01-08,1604.19,1609.47,1574.53,1579.13,3942131
2026-01-09,1575.9,1596.75,1572.96,1579.91,6816681
2026-01-12,1576.0,1579.13,1558.87,1562.1,6985362
2026-01-13,1583.73,1583.73,1552.8,1565.13,8080618
2026-01-14,1554.36,1582.75,1549.57,1565.91,7557157
2026-01-15,1565.91,1565.91,1565.91,1565.91,0
2026-01-16,1628.46,1658.12,1618.38,1654.01,19335957
2026-01-19,1649.31,1649.31,1631.2,1645.59,5104958
2026-01-20,1637.56,1644.61,1617.89,1623.76,6406503
2026-01-21,1616.03,1621.9,1596.65,1619.36,6224582
2026-01-22,1630.71,1635.8,1618.77,1628.27,6228892
2026-01-23,1631.89,1640.21,1626.99,1635.41,5869137
2026-01-27,1650.09,1653.62,1625.92,1647.06,10673087
2026-01-28,1644.42,1653.03,1615.05,1631.2,8588664
2026-01-29,1622.88,1631.2,1607.32,1624.35,4749582
2026-01-30,1619.95,1619.95,1583.83,1606.24,9207926
2026-02-02,1626.8,1626.8,1583.73,1594.89,6784887
2026-02-03,1690.62,1691.4,1617.99,1620.92,8805868
2026-02-04,1540.66,1551.33,1478.11,1503.27,28828622
2026-02-05,1501.51,1518.15,1483.6,1488.0,10628127
2026-02-06,1489.86,1492.7,1448.65,1475.18,13900866
2026-02-09,1489.86,1495.64,1461.38,1465.49,8294615
2026-02-10,1468.23,1483.79,1459.42,1466.08,8657000
2026-02-11,1469.4,1474.0,1437.89,1440.72,7934411
2026-02-12,1398.63,1405.29,1351.26,1356.64,26048896
2026-02-13,1266.49,1348.13,1254.36,1340.1,45785709
2026-02-16,1344.6,1346.85,1309.95,1336.68,14621891
2026-02-17,1340.98,1400.69,1338.05,1361.73,25347684
2026-02-18,1361.44,1371.33,1316.81,1344.6,20241373
2026-02-19,1355.66,1372.3,1334.33,1341.47,14574228
2026-02-20,1330.41,1336.09,1309.86,1324.54,12633552
2026-02-23,1323.36,1323.36,1290.08,1299.38,12887826
