Date,Open,High,Low,Close,Volume
2025-07-01,2499.17,2503.46,2491.89,2495.35,1359791
2025-07-02,2481.19,2541.30,2476.62,2522.37,1229295
2025-07-03,2525.13,2525.13,2512.27,2515.02,722599
2025-07-04,2510.53,2560.80,2485.43,2531.02,4019187
2025-07-07,2531.34,2567.79,2504.48,2541.14,1839319
2025-07-08,2534.55,2547.07,2531.92,2537.85,1804256
2025-07-09,2543.81,2586.44,2504.18,2552.58,3511337
2025-07-10,2544.06,2591.89,2536.61,2575.77,864488
2025-07-11,2583.20,2601.11,2545.18,2570.46,2959357
2025-07-14,2561.06,2584.12,2551.28,2564.91,3533614
2025-07-15,2570.22,2579.88,2497.89,2512.56,2927562
2025-07-16,2511.18,2560.49,2473.20,2521.01,1347261
2025-07-17,2523.28,2536.17,2476.46,2491.44,3480226
2025-07-18,2495.39,2495.39,2469.03,2472.96,1098967
2025-07-21,2472.38,2480.63,2448.49,2456.11,3683102
2025-07-22,2461.71,2461.71,2429.48,2435.03,2342265
2025-07-23,2435.88,2469.39,2373.72,2407.70,769276
2025-07-24,2400.81,2414.31,2376.17,2382.71,1055230
2025-07-25,2387.15,2448.84,2338.46,2404.19,4687855
2025-07-28,2413.94,2438.00,2349.42,2382.93,4349128
2025-07-29,2382.65,2404.09,2374.76,2395.87,4093963
2025-07-30,2391.52,2411.37,2336.67,2351.89,2339795
2025-07-31,2351.71,2372.01,2351.71,2371.84,1419803
2025-08-01,2375.28,2381.42,2365.42,2374.98,4041334
2025-08-04,2368.39,2385.65,2336.29,2346.83,2609014
2025-08-05,2344.30,2383.50,2288.79,2325.12,596309
2025-08-06,2333.43,2333.43,2310.24,2318.52,3353598
2025-08-07,2323.31,2333.66,2265.92,2280.81,4306110
2025-08-08,2280.22,2336.85,2280.22,2336.24,1998640
2025-08-11,2336.08,2345.09,2236.46,2244.97,3003536
2025-08-12,2247.03,2285.59,2227.04,2267.48,1855171
2025-08-13,2264.59,2330.37,2236.94,2299.39,4948929
2025-08-14,2296.04,2353.13,2287.21,2340.73,3544903
2025-08-15,2331.57,2368.25,2315.15,2342.65,3079615
2025-08-18,2340.06,2358.98,2328.77,2345.08,4576783
2025-08-19,2327.30,2365.97,2319.09,2339.93,4968663
2025-08-20,2331.17,2352.24,2330.17,2342.46,2723456
2025-08-21,2340.80,2375.33,2317.25,2350.03,2276692
2025-08-22,2345.92,2418.02,2336.41,2404.08,3846989
2025-08-25,2403.76,2431.93,2324.60,2351.85,4175049
2025-08-26,2351.88,2396.10,2339.69,2383.78,676448
2025-08-27,2381.05,2409.29,2372.05,2397.50,2347317
2025-08-28,2400.00,2455.96,2396.14,2454.57,763510
2025-08-29,2452.39,2465.08,2449.79,2460.28,2496527
2025-09-01,2448.81,2482.61,2431.19,2453.45,4465051
2025-09-02,2454.43,2454.43,2438.82,2439.79,3914666
2025-09-03,2432.82,2454.79,2431.59,2446.56,4417686
2025-09-04,2444.72,2467.78,2442.28,2463.47,1325588
2025-09-05,2464.58,2531.68,2451.65,2519.58,2107174
2025-09-08,2527.25,2527.65,2495.05,2503.07,4038999
2025-09-09,2505.16,2541.34,2482.67,2520.80,1321317
2025-09-10,2529.79,2593.69,2438.33,2510.94,623797
2025-09-11,2513.58,2605.28,2502.06,2596.09,4573853
2025-09-12,2597.91,2637.35,2536.80,2577.76,991869
2025-09-15,2576.59,2580.99,2576.59,2579.83,4316886
2025-09-16,2591.49,2643.94,2572.83,2636.79,4582495
2025-09-17,2646.99,2671.00,2622.16,2656.27,1011349
2025-09-18,2653.53,2656.36,2646.73,2646.82,4499591
2025-09-19,2647.56,2647.56,2569.20,2569.92,1172023
2025-09-22,2567.59,2657.42,2565.32,2652.67,1070097
2025-09-23,2664.87,2666.52,2626.48,2640.27,2565404
2025-09-24,2639.20,2703.42,2634.98,2698.01,1187726
2025-09-25,2679.30,2711.90,2638.35,2652.00,2213450
2025-09-26,2645.95,2660.91,2630.68,2639.54,2728136
2025-09-29,2637.41,2658.73,2574.60,2593.46,1108535
2025-09-30,2594.09,2655.72,2564.60,2626.49,1338703
2025-10-01,2624.75,2658.25,2620.03,2651.72,1077063
2025-10-02,2646.47,2759.95,2636.93,2744.65,1823276
2025-10-03,2736.98,2755.05,2687.54,2697.77,4937076
2025-10-06,2698.50,2849.92,2658.04,2808.55,3011370
2025-10-07,2813.31,2831.71,2804.18,2827.31,1397882
2025-10-08,2822.39,2827.94,2804.50,2805.12,2863542
2025-10-09,2808.56,2826.97,2731.61,2753.05,2714457
2025-10-10,2752.84,2827.06,2736.31,2809.97,926132
2025-10-13,2809.86,2860.93,2797.04,2847.83,1597394
2025-10-14,2842.77,2863.81,2836.26,2852.23,4206384
2025-10-15,2855.61,2859.92,2802.67,2810.25,1750357
2025-10-16,2805.73,2853.04,2769.34,2812.10,1742300
2025-10-17,2799.16,2814.91,2799.00,2801.80,834662
2025-10-20,2798.37,2888.82,2789.41,2876.10,2593207
2025-10-21,2859.74,2894.73,2838.35,2856.86,1796487
2025-10-22,2854.03,2871.87,2810.79,2825.63,1863163
2025-10-23,2827.02,2909.26,2819.48,2902.95,3286573
2025-10-24,2894.17,2907.79,2892.38,2897.21,2581777
2025-10-27,2910.92,2937.77,2849.56,2890.02,4448434
2025-10-28,2905.75,2953.60,2882.68,2946.12,4361303
2025-10-29,2950.45,2981.51,2864.17,2899.00,2120090
