Date,Open,High,Low,Close,Volume
2025-12-29,3178.34,3186.09,3142.39,3150.73,2079473
2025-12-30,3149.27,3166.23,3139.1,3146.17,2807593
2025-12-31,3139.58,3145.4,3099.37,3106.83,3362634
2026-01-01,3115.36,3133.87,3099.08,3127.37,1255735
2026-01-02,3133.77,3153.44,3119.72,3149.95,1184324
2026-01-05,3140.07,3146.37,3092.1,3116.42,2341703
2026-01-06,3110.51,3162.06,3105.67,3154.89,2912325
2026-01-07,3142.39,3198.3,3123.3,3193.46,1989442
2026-01-08,3185.03,3185.03,3083.38,3104.6,4159336
2026-01-09,3092.1,3129.6,3092.1,3108.38,1938673
2026-01-12,3103.73,3151.21,3075.92,3139.19,2228342
2026-01-13,3144.43,3178.34,3111.0,3166.71,5645341
2026-01-14,3158.96,3158.96,3084.35,3093.55,3539511
2026-01-15,3093.55,3093.55,3093.55,3093.55,0
2026-01-16,3176.33,3178.8,3128.58,3163.8,4293470
2026-01-19,3145.35,3176.92,3109.93,3121.28,3387562
2026-01-20,3109.44,3117.73,3049.75,3060.8,4499273
2026-01-21,3058.53,3096.51,3040.77,3080.83,2015150
2026-01-22,3107.86,3117.73,3080.53,3108.25,2269827
2026-01-23,3147.62,3151.77,3109.83,3120.19,2068857
2026-01-27,3132.53,3132.53,3088.13,3115.75,4279874
2026-01-28,3133.51,3162.32,3128.18,3157.29,2751234
2026-01-29,3157.29,3157.29,3083.79,3102.34,2457641
2026-01-30,3098.98,3098.98,3050.64,3082.11,3022068
2026-02-02,3155.22,3155.22,3092.07,3127.2,2636272
2026-02-03,3305.18,3305.18,3143.67,3182.15,4366060
2026-02-04,3078.26,3078.26,2946.05,2958.98,10852595
2026-02-05,2950.0,2989.17,2932.54,2951.48,3521545
2026-02-06,2936.78,2945.07,2876.99,2902.25,4687389
2026-02-09,2919.51,2937.17,2898.2,2908.76,2380318
2026-02-10,2910.34,2971.31,2904.12,2944.67,3547763
2026-02-11,2940.13,2957.89,2865.35,2870.87,3363513
2026-02-12,2831.41,2841.47,2703.35,2713.31,10612156
2026-02-13,2550.42,2676.71,2550.42,2656.18,11168735
2026-02-16,2663.88,2683.42,2635.27,2670.39,2918730
2026-02-17,2679.67,2723.08,2659.14,2681.05,4209118
2026-02-18,2693.48,2693.48,2621.75,2658.85,2950820
2026-02-19,2671.77,2711.93,2630.93,2642.08,3238849
2026-02-20,2631.32,2666.45,2612.08,2650.26,2293482
2026-02-23,2650.07,2667.83,2624.61,2640.5,4699596
2026-02-24,2605.67,2612.08,2527.04,2539.27,7798833
2026-02-25,2561.27,2618.69,2560.29,2594.13,3621285
2026-02-26,2614.55,2635.27,2599.75,2612.28,3464267
2026-02-27,2645.73,2652.63,2590.97,2602.12,5083717
2026-03-02,2557.32,2588.7,2545.78,2578.54,3374385
2026-03-04,2589.88,2599.75,2545.88,2553.18,3446434
2026-03-05,2565.22,2574.59,2512.34,2544.3,2960636
2026-03-06,2537.59,2584.16,2519.44,2523.39,3998643
2026-03-09,2496.15,2525.75,2471.49,2493.59,3653428
2026-03-10,2507.01,2511.15,2456.79,2479.48,4323710
2026-03-11,2474.55,2487.27,2427.19,2431.93,2720664
2026-03-12,2426.89,2439.82,2403.41,2409.73,2752075
2026-03-13,2404.4,2413.18,2364.93,2378.25,2466488
2026-03-16,2377.76,2392.56,2334.45,2376.97,3807907
2026-03-17,2387.63,2387.63,2328.43,2359.7,2993367
2026-03-18,2377.76,2449.68,2377.76,2408.15,3082388
2026-03-19,2384.67,2391.57,2318.76,2324.48,2757060
2026-03-20,2354.08,2375.59,2332.57,2358.62,4206320
2026-03-23,2333.36,2374.6,2316.59,2351.91,3860515
2026-03-24,2371.94,2402.82,2347.27,2366.71,3420182
2026-03-25,2368.78,2389.2,2338.1,2345.6,5843778
